estado,inicio,varinicio,varfim,ptv,id,vir,int,real,lit,leia,escreva,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,faca-ate,fimfaca,fim,$,P',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CP_R
0,s2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,
2,,s4,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
3,,,,,s13,,,,,s11,s12,,,,s16,,,,,,s15,,s10,,,,,,,,,5,6,,7,,,8,14,,,9,
4,,,s19,,s21,,,,,,,,,,,,,,,,,,,,,,,17,18,20,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,
6,,,,,s13,,,,,s11,s12,,,,s16,,,,,,s15,,s10,,,,,,,,,22,6,,7,,,8,14,,,9,
7,,,,,s13,,,,,s11,s12,,,,s16,,,,,,s15,,s10,,,,,,,,,23,6,,7,,,8,14,,,9,
8,,,,,s13,,,,,s11,s12,,,,s16,,,,,,s15,,s10,,,,,,,,,24,6,,7,,,8,14,,,9,
9,,,,,s13,,,,,s11,s12,,,,s16,,,,,,s15,,s10,,,,,,,,,25,6,,7,,,8,14,,,9,
10,,,,,,,,,,,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,,
11,,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,s30,,,,s28,,,s29,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,
13,,,,,,,,,,,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,s13,,,,,s11,s12,,,,s16,,,,,s36,,,,,,,,,,,,,33,,34,,,35,14,,32,,
15,,,,,,,,,,,,,,,,s37,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,r2,,,,,r2,r2,,,,r2,,,,,,r2,,r2,,,,,,,,,,,,,,,,,,,,
18,,,s19,,s21,,,,,,,,,,,,,,,,,,,,,,,39,18,20,,,,,,,,,,,,,
19,,,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,s42,s43,s44,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,
21,,,,,,s45,r7,r7,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,r23,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,,
26,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,s50,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,48,49,,,,,,
32,,,,,r24,,,,,r24,r24,,,,r24,,,,,r24,r24,r24,r24,,,,,,,,,,,,,,,,,,,,
33,,,,,s13,,,,,s11,s12,,,,s16,,,,,s36,,,,,,,,,,,,,33,,34,,,35,14,,52,,
34,,,,,s13,,,,,s11,s12,,,,s16,,,,,s36,,,,,,,,,,,,,33,,34,,,35,14,,53,,
35,,,,,s13,,,,,s11,s12,,,,s16,,,,,s36,,,,,,,,,,,,,33,,34,,,35,14,,54,,
36,,,,,r30,,,,,r30,r30,,,,r30,,,,,r30,r30,r30,r30,,,,,,,,,,,,,,,,,,,,
37,,,,,s50,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,56,,,55,,,
38,,,,,s50,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,56,,,57,,,
39,,,,,r3,,,,,r3,r3,,,,r3,,,,,,r3,,r3,,,,,,,,,,,,,,,,,,,,
40,,,,,r4,,,,,r4,r4,,,,r4,,,,,,r4,,r4,,,,,,,,,,,,,,,,,,,,
41,,,,s58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,
46,,,,,r12,,,,,r12,r12,,,,r12,,,,,r12,r12,r12,r12,,,,,,,,,,,,,,,,,,,,
47,,,,,r13,,,,,r13,r13,,,,r13,,,,,r13,r13,r13,r13,,,,,,,,,,,,,,,,,,,,
48,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,r20,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,r21,,,,,,,,,,r21,,,r21,,r21,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,r22,,,,,,,,,,r22,,,r22,,r22,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,r27,,,,,r27,r27,,,,r27,,,,,r27,r27,r27,r27,,,,,,,,,,,,,,,,,,,,
53,,,,,r28,,,,,r28,r28,,,,r28,,,,,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,
54,,,,,r29,,,,,r29,r29,,,,r29,,,,,r29,r29,r29,r29,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,s63,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,r5,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,r6,r6,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,r18,,,,,r18,r18,,,,r18,,,,,r18,r18,r18,r18,,,,,,,,,,,,,,,,,,,,
61,,,,,s50,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,
62,,,,,s13,,,,,s11,s12,,,,s16,,,,,,,s70,,,,,,,,,,,67,,68,,,69,14,,,,66
63,,,,,s50,,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,
64,,,,,,,,,,,,,,,,,,s72,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,r32,,,,,r32,r32,,,,r32,,,,,,r32,,r32,,,,,,,,,,,,,,,,,,,,
67,,,,,s13,,,,,s11,s12,,,,s16,,,,,,,s70,,,,,,,,,,,67,,68,,,69,14,,,,73
68,,,,,s13,,,,,s11,s12,,,,s16,,,,,,,s70,,,,,,,,,,,67,,68,,,69,14,,,,74
69,,,,,s13,,,,,s11,s12,,,,s16,,,,,,,s70,,,,,,,,,,,67,,68,,,69,14,,,,75
70,,,,,r36,,,,,r36,r36,,,,r36,,,,,,r36,,r36,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,r25,,,,,r25,r25,,,,r25,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,r33,,,,,r33,r33,,,,r33,,,,,,r33,,r33,,,,,,,,,,,,,,,,,,,,
74,,,,,r34,,,,,r34,r34,,,,r34,,,,,,r34,,r34,,,,,,,,,,,,,,,,,,,,
75,,,,,r35,,,,,r35,r35,,,,r35,,,,,,r35,,r35,,,,,,,,,,,,,,,,,,,,